season,episode,title,air_date
1,1,She Was Number 1!,2005-12-19
1,2,Turn 2 The Right,2005-12-20
1,3,Uptown Luck,2005-12-21
1,4,Traci-ng a Venus,2005-12-22
1,5,Orange,2005-12-23
1,6,Episode #1.6,2006-02-27
1,7,Episode #1.7,2006-02-28
1,8,Episode #1.8,2006-03-01
1,9,Episode #1.9,2006-03-02
1,10,Episode #1.10,2006-03-03
1,11,Episode #1.11,2006-03-06
1,12,Episode #1.12,2006-03-10
1,13,Episode #1.13,2006-03-13
1,14,Episode #1.14,2006-03-17
1,15,Episode #1.15,2006-03-20
1,16,Episode #1.16,2006-03-22
1,17,Episode #1.17,2006-03-24
1,18,Episode #1.18,2006-03-27
1,19,Episode #1.19,2006-03-29
1,20,Episode #1.20,2006-03-31
1,21,Episode #1.21,2006-04-03
1,22,Episode #1.22,2006-04-05
1,23,Episode #1.23,2006-04-10
1,24,Episode #1.24,2006-04-12
1,25,Episode #1.25,2006-04-17
1,26,Episode #1.26,2006-04-24
1,27,Episode #1.27,2006-04-26
1,28,Episode #1.28,2006-04-28
1,29,Episode #1.29,2006-05-01
1,30,Episode #1.30,2006-05-03
1,31,Episode #1.31,2006-05-05
1,32,Episode #1.32,2006-05-08
1,33,Episode #1.33,2006-05-10
1,34,Episode #1.34,2006-05-12
1,35,Episode #1.35,2006-05-15
1,36,Episode #1.36,2006-05-17
1,37,Episode #1.37,2006-05-22
1,38,Episode #1.38,2006-05-29
1,39,Episode #1.39,2006-06-05
2,1,Episode #2.1,2006-09-18
2,2,Episode #2.2,2006-09-19
2,3,Episode #2.3,2006-09-21
2,4,Episode #2.4,2006-09-22
2,5,Episode #2.5,2006-09-25
2,6,Episode #2.6,2006-09-28
2,7,Episode #2.7,2006-09-29
2,8,Episode #2.8,2006-10-02
2,9,Episode #2.9,2006-10-05
2,10,Episode #2.10,2006-10-06
2,11,Episode #2.11,2006-10-09
2,12,Episode #2.12,2006-10-12
2,13,Episode #2.13,2006-10-13
2,14,Episode #2.14,2006-10-16
2,15,Episode #2.15,2006-10-19
2,16,Episode #2.16,2006-10-20
2,17,Episode #2.17,2006-10-23
2,18,Episode #2.18,2006-10-26
2,19,Episode #2.19,2006-10-30
2,20,Episode #2.20,2006-11-02
2,21,Episode #2.21,2006-11-06
2,22,Episode #2.22,2006-11-09
2,23,Episode #2.23,2006-11-13
2,24,Episode #2.24,2006-11-17
2,25,Episode #2.25,2006-11-20
2,26,Episode #2.26,2006-11-23
2,27,Episode #2.27,2006-11-27
2,28,Episode #2.28,2006-12-04
2,29,Episode #2.29,2006-12-11
2,30,Episode #2.30,2006-12-18
2,31,Episode #2.31,2006-12-25
2,32,Episode #2.32,2007-01-03
2,33,Episode #2.33,2007-01-07
2,34,Episode #2.34,2007-01-08
2,35,Episode #2.35,2007-01-14
2,36,Episode #2.36,2007-01-17
2,37,Episode #2.37,2007-01-21
2,38,Episode #2.38,2007-01-22
2,39,Episode #2.39,2007-01-24
2,40,Episode #2.40,2007-01-29
2,41,Episode #2.41,2007-01-31
2,42,Episode #2.42,2007-02-05
2,43,Episode #2.43,2007-02-07
2,44,Episode #2.44,2007-02-12
2,45,Episode #2.45,2007-02-14
2,46,Episode #2.46,2007-02-18
2,47,Episode #2.47,2007-02-19
2,48,Episode #2.48,2007-02-21
2,49,Episode #2.49,2007-02-26
2,50,Episode #2.50,2007-02-28
2,51,Episode #2.51,2007-03-04
2,52,Episode #2.52,2007-03-05
2,53,Episode #2.53,2007-03-11
2,54,Episode #2.54,2007-03-12
2,55,Episode #2.55,2007-03-19
2,56,Episode #2.56,2007-03-26
2,57,Episode #2.57,2007-04-02
2,58,Episode #2.58,2007-04-08
2,59,Episode #2.59,2007-04-09
2,60,Episode #2.60,2007-04-16
2,61,Episode #2.61,2007-04-22
2,62,Episode #2.62,2007-04-23
2,63,Episode #2.63,2007-04-30
2,64,Episode #2.64,2007-05-06
2,65,Episode #2.65,2007-05-07
2,66,Episode #2.66,2007-05-14
2,67,Episode #2.67,2007-05-21
2,68,Episode #2.68,2007-06-05
2,69,Episode #2.69,2007-06-13
2,70,Episode #2.70,2007-06-18
3,1,Episode #3.1,2007-09-17
3,2,NFL Edition,2007-09-19
3,3,Episode #3.3,2007-09-26
3,4,Episode #3.4,2007-09-28
3,5,Episode #3.5,2007-10-03
3,6,Episode #3.6,2007-10-05
3,7,Episode #3.7,2007-10-10
3,8,Episode #3.8,2007-10-12
3,9,Episode #3.9,2007-10-17
3,10,Episode #3.10,2007-10-19
3,11,Episode #3.11,2007-10-26
3,12,Episode #3.12,2007-11-02
3,13,Episode #3.13,2007-11-09
3,14,Episode #3.14,2007-11-16
3,15,Episode #3.15,2007-11-21
3,16,Episode #3.16,2007-11-30
3,17,Episode #3.17,2007-12-05
3,18,Episode #3.18,2007-12-05
3,19,Episode #3.19,2007-12-07
3,20,Episode #3.20,2007-12-10
3,21,Episode #3.21,2007-12-11
3,22,Episode #3.22,2007-12-12
3,23,Episode #3.23,2007-12-25
3,24,Episode #3.24,2008-01-02
3,25,Episode #3.25,2008-01-03
3,26,Episode #3.26,2008-01-06
3,27,Episode #3.27,2008-01-07
3,28,Episode #3.28,2008-01-09
3,29,Episode #3.29,2008-01-14
3,30,Episode #3.30,2008-01-16
3,31,Episode #3.31,2008-01-21
3,32,Episode #3.32,2008-01-23
3,33,Episode #3.33,2008-02-04
3,34,Episode #3.34,2008-02-06
3,35,Episode #3.35,2008-02-07
3,36,Episode #3.36,2008-02-11
3,37,Episode #3.37,2008-02-13
3,38,Episode #3.38,2008-02-14
3,39,Episode #3.39,2008-02-18
3,40,Episode #3.40,2008-02-20
3,41,Episode #3.41,2008-02-25
3,42,Episode #3.42,2008-02-27
3,43,Episode #3.43,2008-03-02
3,44,Episode #3.44,2008-03-03
3,45,Episode #3.45,2008-03-05
3,46,Episode #3.46,2008-03-10
3,47,Episode #3.47,2008-03-12
3,48,Episode #3.48,2008-03-17
3,49,Episode #3.49,2008-03-20
3,50,Episode #3.50,2008-03-24
3,51,Episode #3.51,2008-03-27
3,52,Episode #3.52,2008-03-31
3,53,Episode #3.53,2008-04-02
3,54,Episode #3.54,2008-04-07
3,55,Episode #3.55,2008-04-09
3,56,Episode #3.56,2008-04-14
3,57,Episode #3.57,2008-04-16
3,58,Episode #3.58,2008-04-21
3,59,Episode #3.59,2008-04-23
3,60,Episode #3.60,2008-04-28
3,61,Episode #3.61,2008-04-30
3,62,Episode #3.62,2008-05-05
3,63,Episode #3.63,2008-05-07
3,64,Episode #3.64,2008-05-14
3,65,Episode #3.65,2008-05-22
3,66,Episode #3.66,2008-06-11
3,67,Episode #3.67,2008-06-17
3,68,Episode #3.68,2008-06-18
3,69,Episode #3.69,2008-06-25
4,1,Episode #4.1,2008-08-25
4,2,Episode #4.2,2008-09-01
4,3,Episode #4.3,2008-09-08
4,4,Episode #4.4,2008-09-12
4,5,Episode #4.5,2008-10-03
4,6,Episode #4.6,2008-10-10
4,7,Episode #4.7,2008-10-22
4,8,Episode #4.8,2008-10-24
4,9,Episode #4.9,2008-10-29
4,10,Episode #4.10,2008-10-31
4,11,Episode #4.11,2008-11-03
4,12,Episode #4.12,2008-11-07
4,13,Episode #4.13,2008-11-14
4,14,Episode #4.14,2008-11-21
4,15,Episode #4.15,2008-11-26
4,16,Episode #4.16,2008-12-25
4,17,Episode #4.17,2008-12-29
4,18,Episode #4.18,2009-01-01
4,19,Episode #4.19,2009-01-02
4,20,Episode #4.20,2009-05-04
4,21,Episode #4.21,2009-05-11
4,22,Episode #4.22,2009-05-18
4,23,Episode #4.23,2009-05-18
5,1,I'm Dancin' Here!,2018-12-05
5,2,Family Value$,2018-12-05
5,3,There's Snow Place Like Home,2018-12-12
5,4,$5 Redemption,2018-12-12
5,5,Beard or No Beard,2018-12-19
5,6,Happy Howie Days,2018-12-19
5,7,It Takes Two,2018-12-26
5,8,Southern Charm,2019-01-02
5,9,Ice Cream Dreams,2019-01-02
5,10,Flying High,2019-01-09
5,11,"Small Town, Big Dreams",2019-01-16
5,12,My Big Fat Greek Game Show,2019-01-23
5,13,Father Knows Best,2019-01-30
5,14,Head Over Heels,2019-02-06
5,15,Sony With a Chance of Millions,2019-02-13
5,16,Cowboy Up,2019-02-20
5,17,Cheering for a Lucky Strike,2019-02-27
5,18,Million Dollar Lane,2019-03-06
5,19,Mile-High Millionaire,2019-03-13
5,20,Bingo to a Million,2019-03-20
5,21,Million Dollar Musical,2019-03-27
5,22,Million Dollar Ironman,2019-06-12
5,23,Monopoly Money,2019-06-12
5,24,The Champ vs. The Banker,2019-06-19
5,25,Hoop Dreams,2019-06-19
5,26,Wall Street Warrior,2019-07-03
5,27,Magic Touch,2019-07-10
5,28,Roller Coaster Motion,2019-07-17
5,29,Martinis for a Million,2019-07-24
5,30,Vision Quest,2019-07-31
5,31,Looking for Luck in All the Right Cases,2019-08-07
